Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
PL-18086-CM,2017-I,MI FLORITA,CUSTODIO CONDOY SANTOS DOMINGA ;FIESTAS DE JACINTO MARIA ANGELITA ;FIESTAS PUESCAS ESTHER GLADYS ;GALAN CURO JUANA FRANCISCA ;JACINTO FIESTAS ESTEBAN ;JACINTO FIESTAS FERMIN ;JACINTO FIESTAS JOSE GABRIEL ;JACINTO FIESTAS MANUEL ;JACINTO FIESTAS M,MADERA,CAJ/HIE,13.30000019,220,35.5,1
PL-14043-CM,2017-I,RIVERA I,ACOSTA RIVERA ALEJANDRO ;CHANCAFE MOLOCHE MARIA GUADALUPE,MADERA,CAJ/HIE,13.69999981,238,38.26,1
PL-18108-CM,2017-I,JESUS EN TI CONFIO,ARROYO CHANCAFE MANUEL ;BERNAL OROSCO VIOLETA,MADERA,CAJ/HIE,19.200000760000002,240,81.43,2
PS-0614-PM,2017-I,DON ALONSO,PESQUERA DO? CAROLINA S.A.,ACERO NAVAL,N/P,30.18000031,402.67,276.11,2
PL-2734-CM,2017-I,DON JUAN,FIESTAS FIESTAS SIXTO SEGUNDO,MADERA,CAJ/HIE,18.5,265,51.7,1
CE-10474-PM,2017-I,SAN ANTONIO III,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,39.40000153,1000,331.38,19
PL-15503-CM,2017-I,EL VENTARRON 3,FIESTAS DE MARTINEZ PILAR SOLEDAD ;FIESTAS JACINTO LUZ CARMELA ;GALAN GONZALES ISABEL CRISTINA ;MARTINEZ ROBLES ANDRES ABELINO ;MARTINEZ ROBLES FELIPE MARIO ;MARTINEZ ROBLES JOSE VALERIANO ;MARTINEZ ROBLES JUAN ROSALINO ;RAMIREZ JACINTO BERTHA ISA,MADERA,CAJ/HIE,14.100000380000001,240,37.86,2
PL-29632-PM,2017-I,DON JUAN,FIESTAS FIESTAS WALTER VALENTIN,MADERA,N/P,17,351,60.56,1
CE-20735-PM,2017-I,JADRAN II,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,37.25999832,701.24,327.98,27
CO-9968-CM,2017-I,AREQUIPA,PESQUERA FLORENCIA S.A.,ACERO NAVAL,N/P,20.049999239999998,240,49.97,1
CO-2011-PM,2017-I,SK 5,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,28.63999939,510,214.93,5
PL-4335-PM,2017-I,MI JUANITA,IPANAQUE OROSCO ISRAEL ABIMAEL,MADERA,CAJ/HIE,20.299999239999998,380,109.88,4
PL-2270-CM,2017-I,DELFIN 2,FIESTAS JACINTO CARLOS ALBERTO ;FIESTAS JACINTO ESTEBAN ;FIESTAS JACINTO MAGUIN ;FIESTAS JACINTO ROMAN MACARIO ;FIESTAS JACINTO SEBASTIAN ;FIESTAS JACINTO URCINO,MADERA,CAJ/HIE,12.80000019,74.57,40.66,1
CO-11842-CM,2017-I,DON MAÑUCO,EMPRESA PESQUERA JOSE ANTONIO S.A.C.,ACERO NAVAL,N/P,25.47999954,540,169,1
CO-50608-PM,2017-I,DON OLE,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,60.5,3951,1080,20
CO-2771-CM,2017-I,SAN JUAN,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,22.86000061,268,160.94,5
PL-18661-CM,2017-I,ANA ROSA,PUESCAS FIESTAS JULIO ;LLENQUE DE PUESCAS BEATRIZ ;LLENQUE VDA DE PUESCAS BALBINA,MADERA,CAJ/HIE,17.60000038,175,65.24,3
PL-21043-PM,2017-I,DON MARTIR,CORPORACION GAT S.A.C.,MADERA,CAJ/HIE,21,365,110,4
PL-10603-CM,2017-I,MI ALFREDO,FIESTAS FIESTAS CARLOS ZACARIAS ;FIESTAS FIESTAS JOSE,MADERA,CAJ/HIE,14.80000019,150,50.94,1
PL-27950-PM,2017-I,MI JOSE LUIS Nº 2,EFFIO SUCLUPE GRICELDA ;SUCLUPE DE BANCES MARIA JUANA ;SUCLUPE DE HUAMANCHUMO NELY ;SUCLUPE TEJADA CARMEN ROSA ;SUCLUPE TEJADA GEORGINA ;SUCLUPE TEJADA JOSE DE LA ROSA ;SUCLUPE TEJADA LUIS MIGUEL ;SUCLUPE TEJADA MARCELA ;SUCLUPE TEJADA MARIA SANT,MADERA,N/P,21,540,105.83,2
CO-13721-PM,2017-I,NUEVA OFELITA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.83000183,790.44,440.64,20
CO-43668-PM,2017-I,TEO,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,37,1000,296.51,5
CO-23142-PM,2017-I,MI FELICITA 3,CORPORACION NUNTON S.A.C,MADERA,CAJ/HIE,17.04000092,409,83.47,1
CE-11569-PM,2017-I,RIBAR XIV,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,39.20000076,894.8,409.7,27
PL-19882-CM,2017-I,MI NAZARENO,CHIRINOS BERNAL JUAN ALBERTO ;OBREGON GUTIERREZ DE CHIRINOS JULIA ADELAIDA,MADERA,CAJ/HIE,13.94999981,180,34.66,1
HO-18316-CM,2017-I,NEPTUNIA,PESQUERA ZEMAR S.A.C.,MADERA,CAJ/HIE,19.5,238,76.76,2
PS-0575-PM,2017-I,BELEN 1,PESQUERA LAVIANA S.A.C.,ACERO NAVAL,N/P,32.09999847,705,207.03,2
CE-4826-PM,2017-I,CAJAMARCA 6,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,37.86000061,790.44,395.14,9
PL-3533-CM,2017-I,MI BARTOLITA,FIESTAS DE PUESCAS CONCEPCION ;PUESCAS GALAN JUAN CANCIO,MADERA,CAJ/HIE,15.80000019,250,36,1
IO-2393-PM,2017-I,CARMEN JUDITH 3,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,25.39999962,380.36,193.45,5
CO-21015-PM,2017-I,MIGUELINA,PESQUERA ZEMAR S.A.C.,MADERA,CAJ/HIE,20.55999947,279.49,100,2
HO-11293-CM,2017-I,ATUN,LOS CARLOS S.R.L.,MADERA,N/P,19.57999992,283.58,107.61,2
PL-40880-PM,2017-I,MI MAXIMINA,PUESCAS FIESTAS JULIO ;LLENQUE DE PUESCAS BEATRIZ ;LLENQUE VDA DE PUESCAS BALBINA,MADERA,N/P,20,185,99.49,3
PL-4156-CM,2017-I,MARIA LUZ,PESQUERA EXALMAR S.A.A.,MADERA,CAJ/HIE,19.80999947,180,109.99,23
PL-43113-PM,2017-I,VIRGEN DE CHAPI 2,GRUPO NUNTON S.A.C.,MADERA,N/P,20.70999908,450,109.74,2
PL-18032-CM,2017-I,MI LAURITA,FIESTAS DE MARTINEZ PILAR SOLEDAD ;FIESTAS JACINTO LUZ CARMELA ;GALAN GONZALES ISABEL CRISTINA ;MARTINEZ ROBLES ANDRES ABELINO ;MARTINEZ ROBLES FELIPE MARIO ;MARTINEZ ROBLES JOSE VALERIANO ;MARTINEZ ROBLES JUAN ROSALINO ;RAMIREZ JACINTO BERTHA ISA,MADERA,CAJ/HIE,14,140,33.19,2
CO-10449-PM,2017-I,CORINTIA,CORPORACI? PESQUERA GIULIANA S.A.,ACERO NAVAL,N/P,31.10000038,565,205.2,1
PL-2703-CM,2017-I,MI TEODORA,CORPORACION GAT S.A.C.,MADERA,N/P,20,455,104.42,4
PL-10602-PM,2017-I,JOSE LUIS,EFFIO SUCLUPE GRICELDA ;SUCLUPE DE BANCES MARIA JUANA ;SUCLUPE DE HUAMANCHUMO NELY ;SUCLUPE TEJADA CARMEN ROSA ;SUCLUPE TEJADA GEORGINA ;SUCLUPE TEJADA JOSE DE LA ROSA ;SUCLUPE TEJADA LUIS MIGUEL ;SUCLUPE TEJADA MARCELA ;SUCLUPE TEJADA MARIA SANT,MADERA,CAJ/HIE,21,365,94.96,2
PL-022068-CM,2017-I,VIRGEN DE CHAPI,VC Y VG S.A.C.,MADERA,N/P,17.25,365,70.69,1
CO-11509-PM,2017-I,FRANCESCA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,38.36999893,708,380.01,29
CO-18644-PM,2017-I,MARINA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,54.29999924,1300,437.5,20
CO-16680-PM,2017-I,AURELIA,PESQUERA Z Y T S.A.C.,ACERO NAVAL,N/P,27.200000760000002,540,170.38,3
TA-21061-PM,2017-I,MI JUANITA,ALVAREZ ECHE PABLO ;AMAYA MORALES ESPERANZA DEL PILAR,MADERA,N/P,17.14999962,380,109.21,2
HO-10851-PM,2017-I,TASA 415,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,1200,435.13,48
PL-19895-CM,2017-I,MI ELVIS 2,CORPORACION GAT S.A.C.,MADERA,CAJ/HIE,14.600000380000001,180,59.97,4
CE-21260-PM,2017-I,ALEJANDRIA I,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,39.25,676,375.6,20
CO-18818-PM,2017-I,BRUNELLA II,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,39,960,404.41,27
CE-13680-PM,2017-I,IVANA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,44.5,1305,489.7,19
CO-16681-PM,2017-I,CONSTANZA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,46.27000046,1075,530.65,29
PS-6408-PM,2017-I,ALBATROS,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,32.59999847,503.55,290.23,10
PT-12171-CM,2017-I,SANTO TORIBIO I,MARIN TABOADA JUAN MIGUEL,MADERA,CAJ/HIE,11.77000046,177,33.74,1
TA-5247-CM,2017-I,JOSE Y MARIA,SANCHEZ CARNERO LUIS MIGUEL ;MOLEROS DE SANCHEZ MARIA ELENA,MADERA,CAJ/HIE,15.85999966,238,99.86,3
IO-11723-PM,2017-I,TASA 23,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.049999239999998,421.5,321.64,48
CE-38247-PM,2017-I,INCAMAR 2,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,77,1730,806.68,27
CO-16079-PM,2017-I,RIBAR IX,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,58.18999863,1600,586.64,27
PL-20645-CM,2017-I,DAVID ALONSO II,PESQUERA DACON S.A.C.,MADERA,CAJ/HIE,14.52000046,220,39.34,3
CO-23225-PM,2017-I,GRACIELA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.49000168,1450,379.08,29
CE-2485-PM,2017-I,SIMY 7,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,34,633.84,350,20
PL-5496-CM,2017-I,ROSA LILA N°2,CASTRO DE PALMA MARIA MICAELA ;PALMA CARRILLO RICARDO ;PALMA CARRILLO SEGUNDO ALBERTO,MADERA,CAJ/HIE,12.100000380000001,180,39,1
CO-16662-PM,2017-I,MARIANA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,42.45000076,968,439.65,19
PL-18113-CM,2017-I,SAN MARTIN DE PORRAS,LLENQUE JACINTO JOSE MARIANO,MADERA,CAJ/HIE,15.19999981,365,38.41,2
PL-4341-CM,2017-I,DON SEBASTIAN II,GALAN DE LLENQUE ROMULA ;LLENQUE FIESTAS BENJAMIN ;LLENQUE FIESTAS LUIS ;MARTINEZ QUEREBALU MARIA AGUSTINA,MADERA,N/P,13.55000019,142,33.73,2
PL-17770-CM,2017-I,MI MARYURI,BERNAL PALMA ELVIS JAMES,MADERA,CAJ/HIE,14.94999981,165,36.99,1
CO-16324-PM,2017-I,RICARDO,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,47.40999985,1060,414.19,27
CO-12232-PM,2017-I,JUANCHO,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.77000046,790,436.31,20
CE-13917-PM,2017-I,C&Z 7,CAVENAGO REBAZA JACOBO ESTUARDO,ACERO NAVAL,N/P,33.65000153,596.8,355.38,2
CE-2413-PM,2017-I,CALAMAR,PESQUERA LUISA S.A.,ACERO NAVAL,N/P,36.59999847,537,373.43,2
CO-2772-PM,2017-I,SK 4,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,29,300,208.53,5
CE-4052-PM,2017-I,COMANCHE II,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,35.56999969,600,314.75,20
CO-19978-CM,2017-I,LUKINA,QUEVEDO VASQUEZ CARLOS MEDARDO ;ZULOETA GALLO HILDA TERESA,MADERA,N/P,19.5,164.05,108.99,1
PL-19821-CM,2017-I,DON SEBASTIAN 3,LLENQUE FIESTAS BENJAMIN ;LLENQUE FIESTAS LUIS,MADERA,CAJ/HIE,16.10000038,300,39.99,1
CE-1887-PM,2017-I,C&Z 3,CAVENAGO REBAZA JACOBO ESTUARDO ;ZOLEZZI DE CAVENAGO TERESA CONSUELO,ACERO NAVAL,N/P,32.41999817,447.2,259.67,1
CO-21067-PM,2017-I,SANTA ISABEL I,PRODUCTOS MARINOS DEL SANTA S.R.L.,MADERA,N/P,20.06999969,540,108,1
CO-22295-PM,2017-I,ALESSANDRO,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.22000122,1081.25,450,29
CO-16948-PM,2017-I,ROSA II,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,39.75,790,441.2,20
CE-29416-PM,2017-I,MACABI 10,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,44.95999908,NA,289.33,4
PT-50178-PM,2017-I,ISABELLA,INVERSIONES PESQUERAS ISABELLA S.R.L.,MADERA,N/P,23.799999239999998,535,110,1
PL-13069-CM,2017-I,MI DELFINITA,EMPRESA PESQUERA CD E.I.R.L.,MADERA,CAJ/HIE,13.77999973,218,33.62,1
CE-18503-PM,2017-I,PALMAR-2,INVERSIONES Y SERVICIOS ARIANA E.I.R.L.,MADERA,CAJ/HIE,21.25,540,109,1
CE-38248-PM,2017-I,INCAMAR 3,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,77,1730,800,27
CO-11346-PM,2017-I,LUIS ALBERTO,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,25.87999916,380.3,206.62,10
CE-0240-PM,2017-I,MACABI 1,RH ADMINISTRACIONES S.A.,ACERO NAVAL,N/P,33,447.6,265.56,4
PL-19018-CM,2017-I,SINDY MABEL,BERNAL LLONTOP RAMOS,MADERA,CAJ/HIE,12.56000042,135,37.3,2
PL-29219-CM,2017-I,MI ANDREITA,GRUPO NUNTON S.A.C.,MADERA,NA,17.28000069,380,43.81,2
PL-12082-CM,2017-I,SABINA BEATRIZ Nº3,PANTA OROSCO WILMER MANUEL,MADERA,CAJ/HIE,11.850000380000001,180,33,2
CE-2888-PM,2017-I,PISCO 1,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,42.59999847,1075,368.39,29
PL-19017-CM,2017-I,MARIA RICARDINA 2,CORPORACION DBALPI SAC,MADERA,CAJ/HIE,12.649999619999999,210,60.23,1
CE-0236-PM,2017-I,GIANNINA I,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,35.95999908,735,399.23,29
CO-12234-PM,2017-I,CASACA,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,40,790.44,520.77,20
IO-10437-PM,2017-I,CARMEN JUDITH 1,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,31.09000015,337.01,296.39,5
PL-4370-CM,2017-I,MARIA MERCEDES IV,MARIA MERCEDES JRS E.I.R.L.,MADERA,N/P,15.31999969,280,71.74,1
CO-18318-PM,2017-I,SANTA ISABEL,EMPRESA PESQUERA JESUS ELIZABETH S.R.L.,MADERA,CAJ/HIE,16.76000023,380,106.18,1
CO-19554-PM,2017-I,ROSA ISABEL,EMPRESA PESQUERA ROSA ISABEL S.R.L.,MADERA,CAJ/HIE,19.89999962,455,105.99,1
PL-20292-CM,2017-I,MI ABRAHAM,LLONTOP EFFIO BERTHA LUCY ;TEJADA BANCES MAXIMINO,MADERA,CAJ/HIE,15.06000042,180,33.07,1
PL-5982-CM,2017-I,SANTA MARIA 2,ARROYO CASTRO ISIDRO ;ARROYO CASTRO JOSE ZOLANO ;ARROYO CASTRO MARCELINO ;ARROYO CASTRO MARIANO ;ARROYO CASTRO VALENTIN ;HUAMANCHUMO BERNAL MARIA SANTOS ;HUAMANCHUMO SALAZAR GLADYS ;LUMBRES SANTISTEBAN MARGARITA ;PALMA DE ARROYO RENE ;REQUE CAYLE,MADERA,CAJ/HIE,13.43000031,120,35.09,2
PL-51192-PM,2017-I,MANUEL I,GRUPO PESQUERO CHIMBOTE S.A.C.,MADERA,N/P,18.89999962,360,100,1
CO-17082-PM,2017-I,PAULA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,38.5,783.3,400.43,29
CO-12073-PM,2017-I,HALCON,LOS HALCONES S.A.,ACERO NAVAL,N/P,32.29999924,578,287.36,4
TA-38987-PM,2017-I,MERCEDES ISABEL,INVERSIONES DEL MAR CHICAMA S.R.L.,MADERA,N/P,22.55999947,600,100.89,1
PT-6531-PM,2017-I,TASA 31,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,33.54999924,447.42,321.5,48
PT-18707-PM,2017-I,DON TEOFILO,ECA DE TUME MARIA CRISTINA ;TUME MORALES FELIPE,MADERA,CAJ/HIE,18,380,95.57,2
PL-18514-CM,2017-I,ASMAR I,INVERSIONES APOSTOL SANTIAGO E.I.R.L.,MADERA,CAJ/HIE,17.93000031,240,105.67,2
CE-2886-PM,2017-I,COMANCHE V,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.20999908,633.8,275,20
CE-0065-PM,2017-I,TAMBO I,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,37.29000092,269,268.72,20
CO-12186-PM,2017-I,DON LUIS,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,40,790.42,508.49,20
PL-20745-PM,2017-I,MARIA PIA,VIMALCA E.I.R.L.,MADERA,CAJ/HIE,20.70999908,540,99,1
PL-11901-CM,2017-I,JUAN PABLO 2,NUNTON IMAN LUIS ABEL,MADERA,CAJ/HIE,17.39999962,365,38,1
PL-10601-CM,2017-I,DAVID ALONSO,PESQUERA DACON S.A.C.,MADERA,CAJ/HIE,13.47000027,320,33.99,3
PL-2266-CM,2017-I,ROSA MARIA,FIESTAS CURO MARCIAL ;PANTA MARTINEZ MANUEL ;PANTA PUESCAS JUAN,MADERA,CAJ/HIE,14.399999619999999,280,53.74,2
CE-10827-PM,2017-I,AGUILA,LOS HALCONES S.A.,ACERO NAVAL,N/P,31.09000015,410.3,288.27,4
PL-6558-CM,2017-I,ROSA MAXIMINA,BANCES GUEVARA HECTOR GERMAN ;LANGE ZULEMA BEATRIZ,MADERA,CAJ/HIE,13.399999619999999,140,35.3,1
CO-20667-PM,2017-I,SIMY 2,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38.65000153,895,323.44,20
PL-19023-CM,2017-I,DIOS ES AMOR,ACOSTA PINGO ESTEBAN ;FIESTAS DE ACOSTA ISABEL,MADERA,CAJ/HIE,15,180,36.01,1
PL-17597-CM,2017-I,SAN JUAN BAUTISTA 3,URCIA DE ARROYO AURORA ;ARROYO PUICAN MANUEL DE LA NATIVIDAD,MADERA,CAJ/HIE,20.700000760000002,510,105.85,1
CO-5300-PM,2017-I,ATLANTICO I,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,43,634,399.13,10
CE-5850-PM,2017-I,YOVANA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,37.11999893,537,242.03,27
IO-0955-PM,2017-I,CARMEN JUDITH 5,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,33.00999832,357.94,281.66,5
CO-17362-PM,2017-I,RIBAR XVIII,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,46,1051,576.86,27
PT-3937-CM,2017-I,JOSE OTILIO II,FIESTAS QUEREVALU MIGUEL ANGEL ;FIESTAS QUEREVALU PERCY ROLANDO,MADERA,N/P,20,365,52.4,1
PT-10145-PM,2017-I,MADRE AUXILIADORA,ROSA ESTEBAN PALMA S.A.C.,MADERA,N/P,20.549999239999998,540,85.28,3
CO-42361-PM,2017-I,MALVI MARIA,VITUMAR S.R.L.,MADERA,N/P,18,454,96.99,1
CO-6337-PM,2017-I,OLLEROS,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,24.54000092,510,199.82,5
PL-2256-CM,2017-I,NIÑO DEL MILAGRO,FIESTAS FIESTAS JOSE SANTOS,MADERA,CAJ/HIE,13.80000019,190,34.2,1
CO-15126-PM,2017-I,GENESIS,ROSA ESTEBAN PALMA S.A.C.,MADERA,CAJ/HIE,15.46000004,238,105.62,3
PL-14044-CM,2017-I,ZAIDA ISABEL,BERNAL HUAMANCHUMO ZAIDA XIOMARA,MADERA,CAJ/HIE,12.03999996,190,35,1
CE-0229-PM,2017-I,SIMY 4,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.61000061,896,372.6,20
CE-19889-CM,2017-I,HILDA,DEL CASTILLO CA?RI ERLIS JOHNSON ;LOPEZ CORDOVA MARIA MAGDALENA,MADERA,N/P,22,NA,110,1
CE-6504-PM,2017-I,ANDREA,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,40.47999954,700,344.14,27
CE-2509-PM,2017-I,RIBAR III,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,43,720,411.16,27
PL-29176-PM,2017-I,DON SEFERINO,CORPORACION GAT S.A.C.,MADERA,N/P,20,455,83.47,4
CO-15725-PM,2017-I,RODAS,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,42.40000153,1183,422.03,23
PS-0612-PM,2017-I,ALEJANDRIA II,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,36.59999847,402.67,379.03,20
PL-2749-CM,2017-I,SABINA BEATRIZ 2,PANTA SANCHEZ JHONATAN BERNARDO ;PANTA SANCHEZ LARRY ALBERTO,MADERA,CAJ/HIE,14.5,112,45.59,2
CE-28645-PM,2017-I,ALEJANDRIA III,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,45.74000168,1060,450,20
PL-17158-BM,2017-I,PERCY ROGELIO,EMPRESA JEHOVA PODEROSO GIGANTE E.I.R.L.,MADERA,CAJ/HIE,14.94999981,210,33.1,1
PL-17785-CM,2017-I,AGUSTINA 1,AGUILAR LAZARO CARLOS JOSE ;AGUILAR LAZARO LUIS JOSE,MADERA,CAJ/HIE,14.38000011,240,50.01,1
PL-3654-CM,2017-I,MI AGUSTIN,CUSTODIO UCHOFEN ANTONIO ;HUAMANCHUMO EFFIO FRANCISCA,MADERA,CAJ/HIE,11.57999992,100,34.92,1
CO-10833-PM,2017-I,GALILEO,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,34.59999847,567,222,27
CO-42092-CM,2017-I,STEPHANO,INVERSIONES ISLAS DEL CARIBE S.A.C.,MADERA,N/P,20,150,56.13,1
CO-18517-PM,2017-I,SIMON,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,50.52000046,1300,433.84,20
SY-0267-CM,2017-I,MI LEONILA,BARRETO PAREDES FERNANDO RICHARD,MADERA,N/P,16.5,280,90,4
PT-3818-CM,2017-I,JULIA NORA,CORPORACION PESQUERA JR S.A.C.,MADERA,CAJ/HIE,18.89999962,1800,102.87,1
CE-19842-PM,2017-I,PALBER,COPEMARY S.A.C.,MADERA,CAJ/HIE,19.700000760000002,443,105.93,1
CE-2796-CM,2017-I,BRYAN,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,29.11000061,NA,237.26,20
CE-2465-PM,2017-I,REGION CHAVIN I,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,36.79999924,633.84,368.15,9
PL-16671-CM,2017-I,MI TOMASA BEATRIZ,LOCONI DE TEQUE ANGELITA ;MARTINEZ JACINTO MATILDE ;SANTISTEBAN GALAN JUANA ;TEQUE PUESCAS FRANCISCO JAVIER ;TEQUE PUESCAS LEONCIO WILFREDO ;TEQUE PUESCAS MACARIO,MADERA,CAJ/HIE,12.25,1800,38.08,1
PL-3433-CM,2017-I,DIVINA MISERICORDIA I,VIDAURRE PURIZACA MANUEL EFRAIN,MADERA,N/P,14.96000004,220,80.83,1
CE-0256-PM,2017-I,ASIA 2,PESQUERA CANTABRIA S.A.,ACERO NAVAL,N/P,26.60000038,19.7,205,10
CE-1845-PM,2017-I,C&Z 5,CAVENAGO REBAZA JACOBO ESTUARDO,ACERO NAVAL,N/P,28.700000760000002,447.42,197.15,2
CO-13918-PM,2017-I,TASA 53,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,47,1051,572.9,48
CE-13553-PM,2017-I,ANA LUCIA,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,48.95000076,1052,511.53,19
CE-20862-PM,2017-I,MARY,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,RSW,53.75,1450,435.36,9
CE-0232-PM,2017-I,MAR NEGRO,PESQUERA CANTABRIA S.A.,ACERO NAVAL,RSW,36.59999847,896,394.37,10
CO-10614-PM,2017-I,TASA 41,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,50.90000153,960,480.72,48
PL-4450-CM,2017-I,JESUS NAZARENO CAUTIVO,BERNAL LLONTOP RAMOS,MADERA,N/P,14.5,180,50.65,2
PL-19884-CM,2017-I,DON ROLO I,INURRITEGUI BERNAL MARIA ALINA ;JAIME PE? WILMER FAUSTINO,MADERA,CAJ/HIE,13.19999981,180,51.99,2
PL-19883-CM,2017-I,MARLENY MARITZA II,PUESCAS DE LLENQUE LUISA ;LLENQUE FIESTAS DARIO,MADERA,CAJ/HIE,15.69999981,365,37.24,1
PL-17740-CM,2017-I,MI BARTOLITA,PUESCAS GALAN JOSE ;PUESCAS GALAN JUAN CANCIO ;PUESCAS GALAN PEDRO ALVINGULO,MADERA,CAJ/HIE,14.69999981,230,40.78,1
TA-20664-PM,2017-I,JOSY MAR,PERICHE INGA JOSE FELICIANO,MADERA,CAJ/HIE,20.700000760000002,450,110,1
PL-11902-CM,2017-I,ALBERTO UNO,SANCHEZ CASTRO FRANCISCO ;SANCHEZ CASTRO LUIS ALBERTO,MADERA,CAJ/HIE,12.38000011,142,34.5,1
PL-5489-CM,2017-I,PEDRO ESTEBAN,EMPRESA PESQUERA JAIS S.A.C.,MADERA,CAJ/HIE,15,130,34.95,1
PL-20298-CM,2017-I,MI FE EN CRISTO Nº 3,BERNAL LLONTOP FELIPE ;BERNAL LLONTOP HECTOR ;BERNAL LLONTOP LORENZO NICOLAS ;LEYTON CHANAME MARIA ANTONIA ;PALMA DE BERNAL MARIA LUCILA,MADERA,CAJ/HIE,18.299999239999998,330,85.88,2
CO-4208-CM,2017-I,ROSA Y LEONEL,VITE MORALES JUAN,MADERA,CAJ/HIE,20.89999962,175,89.32,1
PT-35833-PM,2017-I,LORITO,ALVAREZ ECHE FLORA ;VITE MORALES LEONARDO FELIPE,MADERA,N/P,20,454,102.13,3
CE-10552-PM,2017-I,JUANITA,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,37.45999908,705,249.46,20
TA-2208-CM,2017-I,MARIA,ECA PANTA JULIA ESTHER ;PANTA FIESTAS DE PERICHE MELVA ;PERICHE MARTINEZ AGUSTIN ;PERICHE MARTINEZ ANTONIO ;PERICHE MARTINEZ NEPTALI ;RAMIREZ PANTA ELIZA,MADERA,N/P,11.42000008,92.22,33.01,3
